文件名,大小(MB),修改日期,类别数量,类别信息
Acne.pt,5.97,2025-09-03 17:02:20,1,{0: 'Acne'}
animal_best.pt,5.95,2025-08-24 11:58:09,4,"{0: 'tit', 1: 'bullfinch', 2: 'squirrel', 3: 'jay'}"
Bone.pt,137.27,2026-03-02 21:08:46,7,"{0: 'elbow positive', 1: 'fingers positive', 2: 'forearm fracture', 3: 'humerus fracture', 4: 'humerus', 5: 'shoulder fracture', 6: 'wrist positive'}"
Brain_Tumor.pt,5.96,2025-09-03 20:49:10,3,"{0: 'glioma', 1: 'meningioma', 2: 'pituitary'}"
Car.pt,5.93,2026-03-02 21:04:28,1,{0: 'car'}
Chess.pt,21.49,2025-09-03 19:51:37,13,"{0: 'bishop', 1: 'black-bishop', 2: 'black-king', 3: 'black-knight', 4: 'black-pawn', 5: 'black-queen', 6: 'black-rook', 7: 'white-bishop', 8: 'white-king', 9: 'white-knight', 10: 'white-pawn', 11: 'white-queen', 12: 'white-rook'}"
Cubes.pt,5.97,2025-09-03 21:09:30,4,"{0: 'big green cube', 1: 'brown hole', 2: 'small red cylinder', 3: 'yellow cube'}"
Daily_Transportation.pt,99.04,2025-08-26 10:26:33,11,"{0: 'articulated_truck', 1: 'bicycle', 2: 'bus', 3: 'car', 4: 'motorcycle', 5: 'motorized_vehicle', 6: 'non-motorized_vehicle', 7: 'pedestrian', 8: 'pickup_truck', 9: 'single_unit_truck', 10: 'work_van'}"
Dental_Diagnosis.pt,5.19,2025-09-03 20:06:25,7,"{0: '1st Molar', 1: '1st Premolar', 2: '2nd Molar', 3: '2nd Premolar', 4: 'Canine', 5: 'Central Incisor', 6: 'Lateral Incisor'}"
Document_Layout_Analysis.pt,35.86,2025-08-24 09:26:18,11,"{0: 'Caption', 1: 'Footnote', 2: 'Formula', 3: 'List-item', 4: 'Page-footer', 5: 'Page-header', 6: 'Picture', 7: 'Section-header', 8: 'Table', 9: 'Text', 10: 'Title'}"
drone_best.pt,5.23,2025-08-24 14:33:31,1,{0: 'drone'}
emotion_7000.pt,5.24,2026-02-05 10:21:16,9,"{0: 'angry', 1: 'contempt', 2: 'disgust', 3: 'fear', 4: 'happy', 5: 'natural', 6: 'sad', 7: 'sleepy', 8: 'surprised'}"
eye.pt,5.27,2025-09-03 20:42:47,1,{0: '0'}
Face.pt,18.27,2026-03-02 21:12:00,1,{0: 'faces'}
Face_Mask.pt,18.31,2026-03-02 20:57:34,3,"{0: 'with_mask', 1: 'mask_weared_incorrect', 2: 'without_mask'}"
fall_best.pt,5.97,2025-08-24 00:03:26,3,"{0: 'Fall Detected', 1: 'Walking', 2: 'Sitting'}"
fire_best.pt,10.29,2025-08-24 10:13:16,2,"{0: 'fire', 1: 'smoke'}"
Fish.pt,130.38,2026-03-02 21:15:21,13,"{0: 'AngelFish', 1: 'BlueTang', 2: 'ButterflyFish', 3: 'ClownFish', 4: 'GoldFish', 5: 'Gourami', 6: 'MorishIdol', 7: 'PlatyFish', 8: 'RibbonedSweetlips', 9: 'ThreeStripedDamselfish', 10: 'YellowCichlid', 11: 'YellowTang', 12: 'ZebraFish'}"
football_player.pt,16.09,2025-09-03 16:49:01,2,"{0: 'football', 1: 'player'}"
Fruit.pt,21.47,2025-09-03 20:33:20,6,"{0: 'Apple', 1: 'Banana', 2: 'Grape', 3: 'Orange', 4: 'Pineapple', 5: 'Watermelon'}"
Grape_Bunch.pt,83.57,2026-03-02 21:11:09,4,"{0: 'Chardonnay', 1: 'PinotNoir', 2: 'PinotGris', 3: 'SauvignonBlanc'}"
Helmet_3.pt,21.46,2026-03-02 21:15:32,3,"{0: 'helmet', 1: 'vest', 2: 'head'}"
helmet_best.pt,5.94,2023-09-07 21:06:36,2,"{0: 'Helmet', 1: 'Face'}"
License_Plate.pt,5.21,2026-03-02 21:06:06,1,{0: 'license_plate'}
Liquid_Level.pt,5.22,2026-03-02 21:14:50,3,"{0: 'container', 1: 'fluid', 2: 'fluid-surface'}"
PCB_Defect.pt,38.64,2026-03-02 21:12:18,6,"{0: 'mouse_bite', 1: 'spur', 2: 'missing_hole', 3: 'short', 4: 'open_circuit', 5: 'spurious_copper'}"
PlantVillage.pt,5.97,2026-03-02 21:08:53,38,"{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7', 8: '8', 9: '9', 10: '10', 11: '11', 12: '12', 13: '13', 14: '14', 15: '15', 16: '16', 17: '17', 18: '18', 19: '19', 20: '20', 21: '21', 22: '22', 23: '23', 24: '24', 25: '25', 26: '26', 27: '27', 28: '28', 29: '29', 30: '30', 31: '31', 32: '32', 33: '33', 34: '34', 35: '35', 36: '36', 37: '37'}"
polpy_best.pt,5.95,2023-05-11 23:24:56,2,"{0: 'O_Hyperplastic', 1: '1_Adenomatic'}"
Potholes.pt,49.59,2025-09-03 20:57:58,1,{0: 'Potholes'}
small_task_best.pt,5.22,2025-08-24 16:40:09,10,"{0: 'pedestrian', 1: 'people', 2: 'bicycle', 3: 'car', 4: 'van', 5: 'truck', 6: 'tricycle', 7: 'awning-tricycle', 8: 'bus', 9: 'motor'}"
Tomato.pt,5.94,2026-03-02 21:07:40,1,{0: 'tomato'}
Tomato_Leaf_Disease.pt,5.96,2026-03-02 21:09:31,10,"{0: 'Tomato Bacterial Spot', 1: 'Tomato Early blight', 2: 'Tomato Late blight', 3: 'Tomato Leaf Mold', 4: 'Tomato Septoria leaf spot', 5: 'Tomato Spider mites Two-spotted spider mite', 6: 'Tomato Target Spot', 7: 'Tomato Yellow Leaf Curl Virus', 8: 'Tomato healthy', 9: 'Tomato mosaic virus'}"
Traffic.pt,5.18,2026-03-02 21:06:47,5,"{0: 'bicycle', 1: 'bus', 2: 'car', 3: 'motorbike', 4: 'person'}"
Traffic_Sign.pt,5.09,2026-03-02 21:05:40,4,"{0: 'stop', 1: 'speedlimit', 2: 'crosswalk', 3: 'trafficlight'}"
